BOOTH_ACTIVE_DAY,BOOTH_LIST,GROUP_NAME
1,A01,正義必勝
1,A02,俺企鵝
1,A03,包子部屋
1,A04,大磨界+GIOstudio
1,A05,西米不是米
1,A06,紫乃沒有乃
1,A07,南方山竹筍
1,A08,彌生工房
1,A09,草本剛目記載
1,A10,NiNEs
1,A11,爆破專家威尼
1,A12,粉紅飯糰
1,A13,虹之域-Shaii
1,A14,Hane Tsubasa_羽翱
1,A15,麻糬滾啊滾
1,A16,攤主腦袋一片白
1,A17,ADDICT‧癮者
1,A18,PINK PEACH
1,A19,P‧R‧Y‧
1,A20,嵐星人
1,A21,瀨良屋
1,A22,CUBIC
1,A23,Studio No.13(速水個人)
1,A24,炸貓排蓋飯
1,A25,噓，私下來
1,A26,黑魔導太太
1,A27,大眾澡堂
1,A28,Candy Box
1,A29,跑跑卡丁車
1,A30,糧倉建設局【RUKA】
1,A31,在我墳上起舞
1,A32,A4紙&阿睡
1,A33,忙狗冰鯊
1,A34,南北大高歌離席
1,A35,[迴音廊]
1,A36,自感良好
1,A37,晨星的同人文學專欄
1,A38,地球上最浪漫的一首歌
1,A39,Paperman
1,A40,雙貓屋
1,B01,MURMUR
1,B02,日常的某一天
1,B03,薯泥派對
1,B04,急行仙草
1,B05,命由工作室
1,B06,Be somewhere
1,B07,SOS+咖哩東
1,B08,水母魚鴨子
1,B09,奧客前線對抗作戰總部
1,B10,繪本角落
1,B11,UP A WE
1,B12,已知用火
1,B13,BIPO
1,B14,兔子蛋糕事務所
1,B15,APA
1,B16,二骨螺旋
1,B17,魔法松鼠嘟嘟
1,B18,吸血鬼馬上在艾歐澤亞打排球
1,B19,精神時光屋
1,B20,No.13 Room
1,B21,Amuiiart
1,"B22,B23",巴爾的摩三餸一湯
1,B24,02PNG
1,B25,風過天旗．雨過天青
1,B26,枯藤Kotem
1,B27,ISWUWUWU
1,B28,血管王
1,B29,存在虛無
1,B30,MMSLs PARTY
1,B31,加加減減
1,B32,泡麵來一碗
1,B33,天城里民服務處
1,B34,ㄟ勸你是快畫畫ㄛ
1,B35,美國翹臀
1,B36,幸運轉輪
1,B37,舊時之月
1,B38,白享瓜的小王國
1,"B39,B40",日寢社
1,B41,阿米亞
1,B42,某魚的雜物箱
1,"B43,B44",To Be Continued
1,B45,蜥蜴冷凍庫
1,B46,法式雜菜煲
1,B47,日軍細華
1,B48,雨羅
1,B49,我們的繪茶室
1,B50,萬家鄉
1,B51,春水煎茶
1,B52,十日十月
1,B53,暗潮洶湧
1,B54,JJJJJJJ
1,B55,精緻廢物
1,B56,抹茶拿鐵
1,"B57,B58",奈櫻工坊
1,"B59,B60",Vivarium
1,B61,腐黑學
1,B62,方形鳥巢
1,B63,沼底蜉蝣
1,B64,紅凱塵伊-個人創作
1,B65,格爾迪恩的芙拉爾
1,B66,半生不熟
1,B67,千月的3V股份有限公司
1,B68,辛香料女巫
1,B69,深度潛水患者
1,B70,今日氣溫負59度
1,B71,No.15
1,B72,倒數計時™
1,B73,Mike Lu
1,B74,希望唔好窗
1,B75,萬事青松
1,B76,Hey U!!
1,B77,五月小行星說你好
1,B78,大高雄旅行社
1,B79,星際老鼠會
1,B80,蕎麥麵不加蕎麥
1,"C01,C02",大波斯菊花園
1,C03,大概是夭謬
1,C04,Little Box
1,C05,BIG Wolf
1,C06,TAKASHIE
1,C07,鬥戰岩牛的牛
1,C08,宇宙飛航員
1,C09,C.P台灣支部
1,C10,熔岩巧克力燕麥
1,C11,Kikiko．奇奇子
1,C12,受撫慰與它們的產地
1,C13,龍龍小舖
1,C14,怎麼沒有麥香魚
1,C15,焦糖貓貓可麗餅
1,C16,呱啦魚的水產店
1,C17,無糖綠茶幫
1,C18,米忽悠欠我的
1,"C19,C20",素人廚師協會
1,C21,狸子開心餅乾舖
1,C22,花屋創意
1,C23,壓死線的肉球
1,C24,狗狗狗
1,C25,樹手無策
1,C26,墮落瘋狗
1,C27,雲霞酸糖TenCL
1,C28,夢的終焉父女粉絲團
1,C29,咖洗喀滋喀滋
1,C30,溯星保養
1,C31,不跳舞的凜舞
1,C32,老子懶癌末期
1,C33,Aminww阿明明
1,C34,檸檬愛玉冰
1,C35,冬雪紛飛
1,C36,Thousand and Days
1,C37,Jasonz Artwork
1,C38,淵焰美 Arta Atelier
1,C39,大宇宙籃寶
1,C40,上條隼
1,"C41,C42",空白頁。
1,C43,MiYou
1,C44,KERO
1,C45,六毛一塊
1,C46,星間鏈路
1,C47,我們聯合——！
1,C48,阿嵐章魚繪圖手作舖
1,C49,阿蘇火山想吃壽司
1,C50,小福星樂園
1,C51,青雨閣
1,C52,+Purin House+
1,C53,給夜桑倒一杯卡布奇諾
1,C54,狗狐兔小隊
1,C55,不朽藤蔓
1,C56,7/9月台
1,C57,孤僻少女
1,C58,深夜茶話繪
1,C59,花小路
1,C60,獸耳之國
1,C61,蚵仔煎煎瓦缸奶
1,C62,broccoholic
1,"C63,C64",挖靈芝的羊
1,C65,ANTINESE
1,C66,芙子煉的藝想室and小黃瓜口味冰泡芙
1,C67,秒速一節
1,C68,博物陳列室
1,C69,專業坑CP
1,C70,騎火箭工作組
1,C71,怎麼畫都糟心唯壹布丁
1,C72,宇田川有的沒的
1,C73,兄弟吃飯飯
1,C74,企鵝貓小屋
1,"C75,C76",不死身家小分隊
1,C77,Mo子宅屋
1,C78,蟲蟲商號
1,"C79,C80",星花火
1,D01,為愛吶喊
1,D02,嘻嘻夙夙
1,D03,梅鈞
1,D04,焦土裡的紅圍巾
1,D05,天亮請睜眼
1,D06,天上雲城
1,D07,應聲者之歌
1,D08,Meow House
1,D09,火炎焱燚
1,D10,羊不吃草
1,D11,151
1,D12,天柑地芝工作室
1,"D13,D14",爆肝到天亮
1,D15,四蠢獸株式會社
1,D16,全糖奶茶
1,"D17,D18",哀愁的艾祖SadAdrian
1,"D19,D20",含情目
1,"D21,D22",千煂+BS
1,D23,少爺啾啾叫
1,D24,日川集團
1,D25,晝眠綎雨--分部
1,D26,水母兔與伊凡
1,D27,好吃飯飯
1,D28,光輝部屋
1,D29,つまみぐい
1,D30,火山慢慢漫漫漫了出來
1,D31,臆想鄉
1,D32,PU獺獺
1,D33,Eat Eat
1,D34,織夢屋
1,D35,寂靜流光
1,D36,飛撲麻糬
1,D37,豆腐吃豆腐
1,D38,丸丸想不到
1,D39,羊蹄不會畫畫
1,D40,深空座標
1,D41,GG++
1,D42,涼拌天窗
1,"D43,D44",Moe*Moe
1,"D45,D46",尼腓工作室
1,D47,匆匆忙忙連滾帶爬
1,D48,Hiphooray
1,D49,先生，您的男友寄到了！
1,D50,賣壽司與蛇精病
1,D51,古比
1,D52,鳥的攤
1,D53,芥草子
1,D54,大咪咪咪叫
1,D55,Mistarium
1,D56,維他命b群
1,D57,空想世界探險隊
1,D58,乙女拾糖
1,D59,那爾西的西
1,D60,果醬販賣所
1,D61,小星星變奏曲
1,D62,妹妹meimei
1,D63,依託答辯
1,D64,抱大腿的魚璣懶洋洋，青..太長
1,D65,神奇山羊飛起來
1,D66,虎芽
1,D67,棉花种植園
1,D68,奴隸放風Time
1,"D69,D70",Sanae
1,"D71,D72",Ouka Leo
1,D73,Basakila
1,"D74,D75",永無止境的最後期限
1,D76,OptimusRu11
1,"D77,D78",Miaosugoi
1,"D79,D80",Leonie
1,"E01,E02",Linlye x Pcrow
1,E03,YTXARTZ
1,E04,一畫非花不是話
1,E05,滅不掉了來一口
1,E06,你不會做菜要先講rrrr
1,E07,白翼社
1,E08,麟昀
1,E09,Cat X Ken
1,E10,莓梗
1,E11,啵啵魚保護協會
1,E12,桃園到台北的區間車票價是42塊
1,E13,雲朵朵小舖
1,E14,我還沒想好
1,E15,一本會說話的書
1,E16,柴犬總部
1,E17,企鵝w
1,E18,徹夜纏眠
1,E19,飛翔的翠玉白菜
1,E20,【艸西茜】
1,"E21,E22",ADDICTED
1,"E23,E24",L.F.land
1,"E25,E26",NCccc
1,E27,1%小風
1,E28,墨寧黑糖鮮奶
1,E29,透明立方
1,E30,Abysss
1,E31,貴圈真亂交通部長
1,E32,薄荷白夜
1,E33,芋圓鳳梨木耳粉粿挫冰
1,E34,超炫風黃金烈焰霹靂無敵霸王龍
1,E35,春菜雙槍姊妹花
1,E36,一群破畫畫的
1,E37,塔塔沙拉醬Natata
1,E38,阿嬤的深空孫子好好ㄘ
1,"E39,E40",S.B.O
1,E41,PolarisNoIII
1,E42,流星街
1,E43,霸總出巡
1,E44,透明總裁
1,E45,Marionette
1,E46,國紀手搖連鎖
1,E47,荒野花店開張中
1,E48,sodarie
1,E49,Twinkle
1,E50,史無前例的肝
1,"E51,E52",未成形工作室
1,E53,神奇熱狗
1,E54,三文鮮魚
1,"E55,E56",白夢夜空
1,E57,球球小舖
1,E58,狐狐小便當
1,"E59,E60",P-Rhythm (Prin)
1,"E61,E62",狼草嘶吼
1,E63,神返時代godback
1,E64,悲傷同人女互助會™
1,E65,丹布倫二世
1,E66,AEIOU
1,E67,南韓同性關係觀察協會
1,E68,音樂缺乏症候群
1,E69,AAYO
1,E70,Tribus
1,E71,嘰嘰喳喳汪汪叫
1,E72,談戀愛也要吃年夜飯
1,E73,白熱電球
1,E74,寢不足社畜
1,E75,敗姆宇宙x外星把餔
1,E76,禾苑創作
1,E77,涅潽a幸運餅乾
1,E78,早睡早起
1,"E79,E80",閑駒樓
1,F01,Mania
1,F02,MIgo咪狗工作室
1,"F03,F04",士雷shirai
1,F05,富士繪社
1,F06,布來沒Bremen
1,"F07,F08",PAPER BOX
1,F09,路人Miga
1,F10,臺師大虛擬偶像研究社
1,F11,愛過橘毛陣線
1,F12,ROVA
1,F13,ADELIE
1,F14,渣渣沒帶袋子只有毛毛
1,F15,酸欠少年
1,F16,旦白堂
