BOOTH_ACTIVE_DAY,BOOTH_LIST,GROUP_NAME
1,"A01,A02",OriginZero
1,"A03,A04",殺必死天國
1,"A05,A06",三色坊
1,"A07,A08",闇夢館
1,"A09,A10",Hosto
1,A11,MacaronKnight
1,A12,延畢牲遊戲研究所
1,A13,帕雷斯卡
1,A14,curry and rice(咖哩飯)
1,"A15,A16",黒炎紳士
1,"A17,A18",蝦餅SHA
1,"A19,A20",蒼銀之星
1,"A21,A22",traco strawberry
1,"B01,B02",一米七雪貓
1,"B03,B04",一米五悠糸
1,"B05,B06",銅雀臺
1,"B07,B08",Hanasawa花澤
1,"B09,B10",淺墨閣
1,B11,Cabbage 白菜滷
1,B12,米恩坊
1,B13,wasa米米米
1,B14,漂泊社
1,B15,阿熊人原木
1,B16,仿機誌MechaJin
1,B17,CloBA ART
1,B18,御狐亭
1,B19,OHLAND
1,B20,兔仔咖啡凍
1,"B21,B22",Himoata
1,B23,F Project
1,B24,果糖工坊
1,B25,肉肉分享餐
1,B26,棺桶妖
1,"B27,B28",琉璃茉莉❀∣原創設計
1,B29,A-Brei Atelier
1,B30,Kaku Lab
1,"B31,B32",熊熊麻薯
1,"B33,B34",異私特
1,"B35,B36",+喵耳園魔法道具屋+
1,B37,艾宅團
1,B38,林檎效應
1,"B39,B40",兔子老大
1,"B41,B42",炉研所
1,"B43,B44",電梯上樓
1,"C01,C02",Shadow sensei
1,C03,桑尤姆的部屋
1,C04,幽塗
1,C05,Ema箱
1,C06,符合舟禮
1,C07,志言嗟咏舞
1,C08,博士還不能休息
1,C09,跑跑鼬
1,C10,舍團
1,C11,Ellie工作坊
1,C12,いのがる工房
1,"C13,C14",克特小舖
1,C15,觸電工作室
1,C16,HIGH RISK REVOLUTION
1,C17,ETERNAL LAND
1,C18,いちごうららか
1,"C19,C20",丹下拳闘倶楽部
1,"C21,C22",Yuki Azuma Imomuya – Singleton
1,"C23,C24",水餃寶包
1,"C25,C26",Ame
1,"C27,C28",黎梓×龜龜kame
1,C29,草莓電波
1,C30,麻鼠麻肉
1,C31,兩齒
1,C32,熊初末
1,C33,波羅田
1,C34,GLI居狸
1,"C35,C36",Luminous冷凝
1,"C37,C38",CIAN YO
1,C39,WaterRing 水鈴鈴 愛麗絲的汪汪
1,C40,黑星白星BsWs
1,"C41,C42",黑蛛白蛛
1,"C43,C44",Wish+希冀之翼+
1,"D01,D02",箱庭交響曲
1,"D03,D04",Kouchiku卡卡
1,"D05,D06",御芊
1,D07,肚臍轉圈圈
1,D08,興趣始燃
1,D09,待援生活
1,D10,盛櫻之汀
1,D11,涼拌天窗
1,D12,旅月月
1,"D13,D14",吉喵熊熊
1,"D15,D16",星米恩
1,D17,7MA
1,D18,MAkoriii
1,"D19,D20",Shirakawako
1,"D21,D22",Jun&Yuri
1,"D23,D24",角落工作室
1,"D25,D26",ahnitol
1,D27,柚柊工坊
1,D28,好點子
1,"D29,D30",Edge Three
1,"D31,D32",營養口糧兵工廠
1,D33,共聚物精靈Copolymer Wizard
1,D34,起司切半
1,"D35,D36",八百萬
1,"D37,D38",Varlyn琳
1,D39,まふゆ
1,D40,尼腓工作室
1,D41,帕淇PACHI
1,D42,本本貓是一隻貓
1,"D43,D44",本本貓牽絲麻糬
1,E01,Reverse Noise
1,E02,あかぎれ堂
1,"E03,E04",二色幽紫蝶
1,"E05,E06",林檎林
1,E07,A-One
1,E08,TAMUSIC
1,"E09,E10",舞々
1,"E11,E12",彩音 〜xi-on〜
1,E13,Crest
1,E14,交響アクティブNEETs
1,E15,東京アクティブNEETs
1,E16,OTAKU JAZZ COLONY
1,E17,蓬萊賦形所&戀石同盟
1,E18,傑森
1,E19,Kamiya神夜
1,E20,Kashiwa ArtWorks
1,"E21,E22",憋氣直到完售
1,"E23,E24",杏。Xing
1,"E25,E26",雙雙屋YOYOYA
1,E27,Onimomo
1,E28,曇焉幻獸閣
1,"E29,E30",萌妹子前線
1,E31,奶凰包
1,E32,にゃんション-貓宅
1,E33,少女爆肝中
1,E34,御用飯糰 Onigiri
1,E35,星球蛋糕捲☆
1,E36,悠悠栽栽
1,E37,小雞塊嗶嗶
1,E38,瑞宅
1,E39,稻羽茶屋
1,E40,むげん＠WORKS
1,E41,Shouki’s nest
1,E42,紅米
1,"E43,E44",saumonière栗子鮭魚屋
1,"F01,F02",背骨貓屋
1,F03,背骨貓屋二號店
1,F04,滴式代工房
1,"F05,F06",摺子妹妹
1,"F07,F08",毛毛精靈與牠們的喵喵迷因
1,"F09,F10",有害蕈類集會所
1,"F11,F12",大福喵喵
1,"F13,F14",預設名稱
1,"F15,F16",Humidity
1,"F17,F18",XTER
1,"F19,F20",Single Type
1,"F21,F22",坊橋夜泊
1,"F23,F24",TRY&方言二人社會
1,"F25,F26",KAWORU卡歐露
1,"F27,F28",華容道
1,"F29,F30",UNKNOWN
1,"F31,F32",多肉生物
1,"F33,F34",無限地雷
1,"F35,F36",なまねこカフェ
1,F37,吃鬼冰室
1,F38,記得繳房貸
1,"F39,F40",貓兒迷雅
1,"F41,F42",Hiten Kei
1,"F43,F44",DAi
1,"G01,G02",捕食少女
1,"G03,G04",驕傲香蕉
1,"G05,G06",Awan
1,"G07,G08",雪糰子
1,"G09,G10",Omelet Cream
1,"G11,G12",宇宙波神山崎本社
1,"G13,G14",超大玉米力
1,"G15,G16",仙界大濕快樂攤
1,G17,Walkzun
