BOOTH_ACTIVE_DAY,BOOTH_LIST,GROUP_NAME
1,"J01,J02",強迫症少年
1,J03,吉度中毒歐豆K
1,J04,BIPO
1,J05,腐黑學
1,J06,萬應室裡的下午茶
1,J07,貓咪粗乃丸
1,J08,回家日記
1,J09,Good Omens 好預兆
1,J10,今夜漫長
1,J11,Prediction
1,J12,MP9999
1,J13,叁拾顆南瓜
1,J14,紫玉藤花別館
1,"J15,J16",魷刃有魚
1,J17,庫樓
1,J18,FukamiShop
1,J19,日落地平線
1,J20,喜歡小男孩就是風潮
1,J21,月亮代表我的心
1,J22,K醬ㄉ攤
1,J23,Polaris
1,J24,果物一途
1,J25,湖底章魚音樂盒
1,J26,鮮蝦魚板
1,J27,海塩雪糕
1,J28,紫月
1,J29,紅豆真滷蛋
1,J30,輝夜AI追夢椅
1,J31,粉紅泡泡小宇宙★
1,J32,布丁杯★
1,"J33,J34",白夢夜空
1,J35,XX畫廊-ARu art
1,J36,Streamer Fairy Art
1,J37,sailor b-612
1,J38,Twinkle
1,J39,櫻兔子的板男線
1,J40,房間工作室
1,K01,遠航冒險
1,K02,薄荷巧克力
1,K03,C.I.L.S Box
1,K04,這世界充滿著愛
1,K05,汁星
1,K06,晚安夜良
1,K07,老問小問題
1,K08,利利皆心土
1,K09,歨歨悅神社
1,K10,離月
1,K11,Zoiri
1,K12,カイミク同好會
1,K13,糸中註定冴愛凛
1,K14,鹽昆布茶泡飯
1,K15,日照不足
1,K16,薛丁格的水族箱
1,"K17,K18",落英之都
1,"K19,K20",葫蘆夏天hwulusummer
1,K21,ONE DAY HERO
1,K22,粉色甜點舖
1,K23,做我的蠢糗大萌
1,K24,黑鮪食堂
1,K25,環繞著土星的光環
1,K26,微米手作工坊
1,K27,砂鍋魚頭
1,K28,鵺空
1,K29,每天戳一句
1,K30,白叶
1,K31,音之狂想曲
1,K32,跟著鐵球跑
1,K33,JAkUtEn*
1,K34,鰹鰹ㄉ煩惱星球
1,K35,外星空想
1,K36,米De加奶不加糖
1,K37,Enzo與室友
1,K38,厭世熊寶貝
1,K39,kikokako
1,K40,Rio.ouo哩喔
1,L01,光明系同人女
1,L02,松鼠麵包
1,L03,JO世主JO我一命
1,L04,章魚燒要加海苔還是梅粉
1,L05,JO要划船
1,L06,經費有限公司
1,L07,JO團花大錢
1,"L08,L09",喬魯諾巴巴大俠
1,L10,喬魯諾巴巴大俠二號
1,L11,SUNSUN
1,L12,KitsuneP.毛茸樂園
1,L13,喬公異旅 with shrimp emotions
1,L14,怎麼沒有麥香魚
1,"L15,L16",殘花寒香一杯飲
1,"L17,L18",分岔分岔
1,L19,LOVE BUZZ
1,L20,C=C
1,L21,月月子不在家
1,L22,深海裡的大鯨魚
1,"L23,L24",SZKOBO袖子工作坊
1,"L25,L26",快樂罌粟花自耕農會
1,"L27,L28",《Brain Damage》
1,L29,羊不吃草
1,L30,壁上觀
1,"L31,L32",零界點
1,L33,銀髮少年
1,L34,杏仁豆腐の旋律
1,L35,煞氣
1,L36,墨丘利
1,"L37,L38",夢橋 DreamBridge
1,"L39,L40",INXK
1,M01,十九回目逃亡
1,M02,驚奇菓織間
1,"M03,M04",老祖宗保佑我
1,"M05,M06",橘子寶寶手作舖
1,M07,養魚要用浴缸
1,M08,我還沒嚮導uwu
1,M09,會飛的紙條
1,M10,senla.
1,M11,壞狗狂奔，咎人要緊
1,M12,SYUlei
1,"M13,M14",龍哥
1,"M15,M16",海洋工作室
1,M17,OrangeDragon橘子龍龍
1,M18,stellane
1,M19,廢墟樂園
1,M20,極東霓虹實驗室
1,"M21,M22",月見草
1,M23,儉約判定+
1,M24,現在我有一團兵淇淋
1,M25,檸檬青Xuetong
1,M26,Crazy Country
1,M27,BOMB DONUT
1,M28,朱閣綺戶倆口人
1,M29,•°+夜落烏啼+°•
1,M30,阿吉×微光島嶼
1,M31,迢迢路條條
1,M32,ㄒㄒ不是TT
1,"M33,M34",今天肚子餓
1,M35,恐龍的五官在側面
1,M36,小眼睛LITTLEEYES
1,"M37,M38",薯星星
1,M39,好想變成微生物
1,M40,小布j.us
1,N01,Candy Box
1,N02,大眾澡堂
1,N03,迷走。巡鹿
1,N04,塞納河底看不見星空
1,N05,反青復明三角勇者
1,N06,青瀞農場狗狗狗
1,N07,樹手無策
1,N08,野海熊熊可麗餅
1,"N09,N10",3206
1,N11,臨時通告
1,N12,船到橋頭自然直
1,N13,哇呀燈塔塔
1,N14,海鮮飯飯
1,N15,于笙是條魚
1,N16,羊肉燒賣
1,N17,文字滿苑
1,N18,莓梗
1,N19,羊角蟹粉
1,N20,凱特少爺
1,N21,紫色狐狸山
1,N22,冷坑人生
1,N23,#92b5a9
1,N24,四季手作
1,"N25,N26",肝硬化企業-熬夜榨肝部門
1,N27,肝硬化企業-小心肝印畫部門
1,N28,肝硬化企業-通通爆肝部門
1,N29,嘟嚕啦咘嗒
1,N30,食蟻獸的螞蟻窩
1,N31,上樑不正下樑歪
1,N32,7Hrs雜貨店
1,N33,虛無布饅頭
1,N34,幫幫的家
1,"N35,N36",莫雨飄楓
1,"N37,N38",啉雜集
1,N39,倉庫角落
1,N40,初入貓蘆
1,"O01,O02",秋貓Akineko
1,O03,木木梟保育協會
1,O04,Ya喵子的貓窩
1,O05,Confeito
1,O06,晚安丁豆子
1,O07,本喵放空自我
1,O08,墨貓空氣幻境
1,O09,維也納貓咖附餐烤飯糰
1,O10,廢人線
1,O11,動物押花
1,O12,吐司狐的麵包樹
1,O13,南方山竹筍
1,O14,亞矢愛吃爆米花
1,O15,紫乃沒有乃
1,O16,NiNE's
1,O17,悸胱香香G
1,O18,PONKA
1,"O19,O20",Blamon布來蒙
1,O21,TOMO
1,O22,小林他的家
1,O23,華役少爺
1,O24,Ciao*
1,O25,捏捏茶宇宙
1,O26,默屋
1,O27,大腦空談論
1,O28,Lagom
1,O29,透明雞翅膀
1,O30,逆光合作用
