BOOTH_ACTIVE_DAY,BOOTH_LIST,GROUP_NAME
1,A01,超級同人大戰
1,A02,自豪人生
1,"A03,A04",女巫之骰
1,A05,光影之下
1,A06,風橙實驗室
1,"A07,A08",Bedtime Story 被談聲聆
1,A09,小垃圾集中營
1,A10,小莖靈 Little Penny
1,"A11,A12",奇幻之門工作室
1,"A13,A14",藍胖肥龍
1,A15,1職玩
1,A16,奇異狗冰沙
1,"A17,A18",皮鵲-Picture
1,"A19,A20",哥布林村長
1,"A21,A22",惡鳥禽流感
1,"A23,A24",雪之饗
1,"A25,A26",雙夏
1,A27,蘿蔔兔Too
1,A28,塗鴉仙人掌
1,A29,SCIFASAURUS(海穹文化)
1,A30,熬夜慣犯
1,A31,向日葵茄子
1,A32,fu富
1,"A33,A34",羊駝怪人
1,A35,艾爾先生
1,A36,ACG動漫迷的秘密會社
1,"A37,A38",左岸咩咩館
1,A39,寒武紀化石
1,A40,古怪KoKai
1,"A41,A42",LSS的機械陣地
1,"A43,A44",景美仙姬巖
1,B01,肉球不加蛋
1,B02,鼠工藝
1,"B03,B04",毛毛精靈與牠們的喵喵迷因
1,"B05,B06",凝 標本藝術工作室
1,"B07,B08",旋鳥
1,B09,新夭 Brainholesky
1,B10,賽路伊斯-七曜個人
1,B11,覓土陶藝
1,B12,似個晴天
1,B13,屋拉米本舖
1,B14,總天然色
1,"B15,B16",包子部屋
1,B17,俺企鵝
1,B18,大磨界+GIOstudio
1,"B19,B20",格爾迪恩的芙拉爾
1,B21,紅凱塵伊えり- 個人創作
1,B22,CATPOT
1,"B23,B24",老雁小坊
1,B25,專業坑CP
1,B26,克特小舖
1,"B27,B28",異私特
1,"B29,B30",狸奴小築
1,"B31,B32",+喵耳園魔法道具屋+
1,B33,手創館
1,B34,茉紡工作坊
1,"B35,B36",琉璃茉莉❀∣原創設計
1,"B37,B38",熊手製造
1,B39,IMA AME今雨
1,"B41,B42",居然是綿羊
1,"B43,B44",日落之旅藥水舖
1,"C01,C02",特製隊 & Hsun Craft Studio
1,"C03,C04",Monster Hero
1,C05,Breed Bed Works
1,C06,AX Digital Art
1,"C07,C08",手玩味模型工作室
1,C09,怪獸箱_monsterbox
1,C10,J個怪獸模型公仔工作室
1,"C11,C12",Neiba Design
1,"C13,C14",擬現工坊
1,"C15,C16",膠愛模型工作室
1,"C17,C18",有貓氏陶
1,"C19,C20",R-Ben Studio
1,"C21,C22",盧楓山工作室
1,"C23,C24",怪誕肉牛、呼嚕呼嚕溫蒂
1,"C25,C26",Yumi_Funland
1,"C27,C28",咕咚咕嚕社務所
1,C29,酷拉拉
1,"C30,C31,C32",礦石靈獸
1,C34,比例王模型設計工作室
1,C35,R匠工房
1,C36,UZ STUDIO
1,"C37,C38",melocore
1,C39,東西像工作室
1,C40,天然紀念物 生物製作工作室
1,"C41,C42",奇獸國度
1,"C43,C44",廷a理工御宅 & Mr.BradeHu
1,"M01,M02",尼腓工作室
1,M03,鳩DEVIL部
1,M04,達p塗鴉牆
1,"M05,M06",奈櫻工坊
1,"M07,M08",龜龜kame
1,M09,RIN
1,M10,如月與黑澤With一夜
1,M11,烏冬傳說
1,M12,74 Production
1,"M13,M14",八百萬堂
1,M15,やまぐちぷりんと
1,M16,ＵＲＡＮ-ＦＡＣＴＯＲＹ
1,"M17,M18",ＳＨＩＮＩＮＧ
1,M19,CIRCLE WORKS
1,M20,骨頭蹦
1,M21,羊亞科
1,M22,貓咪豆腐店
